slug,distillery_name,rank,score,company_num,company_name,status,type,reg_date,nace,last_accounts,address
portmagee,Portmagee,1,1.50,596732,PORTMAGEE DISTILLING AND BREWING COMPANY LIMITED,Normal,LTD - Private Company Limited by Shares,2017-01-18,3299.0,2025-12-31,", Ireland"
portmagee,Portmagee,2,0.80,710553,PORTMAGEE PLANT HIRE LIMITED,Normal,LTD - Private Company Limited by Shares,2021-12-21,161.0,2024-12-31,"KILLARNEY,KERRY"
portmagee,Portmagee,3,0.80,648646,PORTMAGEE SHELLFISH LIMITED,Normal,LTD - Private Company Limited by Shares,2019-04-24,6420.0,2025-07-31,"PORTMAGEE, KERRY, IRELAND"
titanic-distillers,Titanic Distillers,1,1.00,281044,TITANIC TRUST LIMITED,Dissolved,Private limited by shares,1998-02-27,,,DUBLIN
titanic-distillers,Titanic Distillers,2,0.80,453718,THE TITANIC TRAIL LIMITED,Normal,LTD - Private Company Limited by Shares,2008-02-21,,2025-02-28,"COBH,CORK"
titanic-distillers,Titanic Distillers,3,0.63,495320,TITANIC EXPERIENCE COBH LIMITED,Normal,LTD - Private Company Limited by Shares,2011-02-22,,2024-12-31,"COBH, CORK, IRELAND"
daly-s-distillery,Daly's Distillery,1,1.30,382156,DALYS DRINKS LIMITED,Normal,LTD - Private Company Limited by Shares,2004-02-20,,2025-03-31,"BOYLE, ROSCOMMON, IRELAND"
daly-s-distillery,Daly's Distillery,2,1.00,13287,DALY'S LIMITED,Dissolved,Unknown,,,,********NO ADDRESS DETAILS*******
daly-s-distillery,Daly's Distillery,3,0.80,786944,DALY'S AGRI FARM  LIMITED,Normal,LTD - Private Company Limited by Shares,2025-04-23,141.0,,Laois
church-of-oak-distillery,Church of Oak Distillery,1,0.80,666223,OAK UP LIMITED,Normal,LTD - Private Company Limited by Shares,2020-02-11,9319.0,2025-01-31,"DUBLIN,Dublin 14"
church-of-oak-distillery,Church of Oak Distillery,2,0.80,512439,THE CHURCH RESTAURANT LIMITED,Normal,LTD - Private Company Limited by Shares,2012-04-25,,2021-08-31,"MULLINGAR,WESTMEATH"
church-of-oak-distillery,Church of Oak Distillery,3,0.50,623871,OAK BOUTIQUE LIMITED,Dissolved,LTD - Private Company Limited by Shares,2018-04-05,4616.0,2019-08-31,"LUCAN, DUBLIN, IRELAND"
achill-island-distillery,Achill Island Distillery,1,0.97,715545,ACHILL ISLAND KITCHEN LIMITED,Normal,LTD - Private Company Limited by Shares,2022-03-16,4722.0,2025-03-31,"Achill, MAYO, Ireland"
achill-island-distillery,Achill Island Distillery,2,0.80,49581,ISLAND TRUST LIMITED,Normal,LTD - Private Company Limited by Shares,1974-11-04,,2018-12-31,", Ireland"
achill-island-distillery,Achill Island Distillery,3,0.80,466444,UNIT 7 ISLAND HOLDINGS LIMITED,Normal,LTD - Private Company Limited by Shares,2009-01-19,,2024-12-31,"CO. CORK,CORK"
ardara-distillery,Ardara Distillery,1,1.00,304785,ARDARA HOLDINGS LIMITED,Dissolved,LTD - Private Company Limited by Shares,1999-04-07,,2009-12-31,DUBLIN 2
ardara-distillery,Ardara Distillery,2,0.80,650719,CAMPBELL'S OF ARDARA LIMITED,Normal,LTD - Private Company Limited by Shares,2019-05-27,4771.0,2026-04-30,"ARDARA, DONEGAL, IRELAND"
ardara-distillery,Ardara Distillery,3,0.80,586778,ARDARA VENTURES LIMITED,Normal,LTD - Private Company Limited by Shares,2016-07-28,6420.0,2025-12-31,",LIMERICK"
fore-distillery,Fore Distillery,1,1.80,720627,FORE DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2022-06-07,1101.0,2025-08-31,"OLDCASTLE,MEATH"
fore-distillery,Fore Distillery,2,0.80,645689,FORE RIGHT LIMITED,Normal,LTD - Private Company Limited by Shares,2019-03-12,6420.0,2025-04-30,"MULLINGAR, WESTMEATH, IRELAND"
fore-distillery,Fore Distillery,3,0.80,631298,FORE LENE LIMITED,Normal,LTD - Private Company Limited by Shares,2018-07-31,7022.0,2024-12-31,"CASTLEKNOCK,DUBLIN"
j-j-corry-irish-whiskey,J.J. Corry Irish Whiskey,1,1.00,735203,DISTILLING AND IRISH SPIRITS TRADING  LIMITED,Normal,LTD - Private Company Limited by Shares,2023-02-17,4634.0,2025-12-31,"DUBLIN,Dublin 15"
j-j-corry-irish-whiskey,J.J. Corry Irish Whiskey,2,1.00,566097,CRAFT IRISH DISTILLING CO LIMITED,Normal,LTD - Private Company Limited by Shares,2015-08-06,7490.0,2023-12-31,"DUBLIN 2, DUBLIN, IRELAND"
j-j-corry-irish-whiskey,J.J. Corry Irish Whiskey,3,1.00,5121,IRISH DISTILLERS GROUP UNLIMITED COMPANY,Normal,ULC - Private Unlimited Company,1921-03-08,,2025-06-30,"BALLSBRIDGE,DUBLIN"
the-shed-distillery,The Shed Distillery,1,1.00,38287,SHED LIMITED,Dissolved,Private,1972-08-17,,,DUBLIN
the-shed-distillery,The Shed Distillery,2,0.80,814181,MADE IN SHED LIMITED,Normal,LTD - Private Company Limited by Shares,2026-04-23,7022.0,,"Enniskeane,CORK"
the-shed-distillery,The Shed Distillery,3,0.80,796424,MY SHED SHOP LIMITED,Normal,LTD - Private Company Limited by Shares,2025-09-02,4399.0,,"CARRICK ON SHANNON,LEITRIM"
garden-county-distillery,Garden County Distillery,1,1.50,648539,GARDEN COUNTY DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2019-04-24,5630.0,2024-12-31,"Rathnew, WICKLOW, Ireland"
garden-county-distillery,Garden County Distillery,2,0.97,762422,GARDEN COUNTY SPORT LIMITED,Normal,LTD - Private Company Limited by Shares,2024-04-22,5911.0,2025-04-30,"CARNEW,WICKLOW"
garden-county-distillery,Garden County Distillery,3,0.97,704130,GARDEN COUNTY EYECARE  LIMITED,Normal,LTD - Private Company Limited by Shares,2021-09-17,4778.0,2024-12-31,"RANELAGH,Dublin 6"
old-carrick-mill-distillery,Old Carrick Mill Distillery,1,1.30,551168,OLD CARRICK MILL LIMITED,Normal,LTD - Private Company Limited by Shares,2014-10-16,,2024-12-31,"Carrickmacross,MONAGHAN"
old-carrick-mill-distillery,Old Carrick Mill Distillery,2,0.97,582543,OLD MILL FARM LIMITED,Normal,LTD - Private Company Limited by Shares,2016-05-17,141.0,2024-12-31,"CO. LIMERICK, LIMERICK, IRELAND"
old-carrick-mill-distillery,Old Carrick Mill Distillery,3,0.80,771433,OLD MILL ENERGY LIMITED,Normal,LTD - Private Company Limited by Shares,2024-09-06,7490.0,2025-12-31,"Dunboyne,MEATH"
dundalk-bay-brewery-distillery,Dundalk Bay Brewery & Distillery,1,1.50,550243,DUNDALK BAY BREWERY AND DISTILLERY CO. LIMITED,Normal,LTD - Private Company Limited by Shares,2014-09-26,,2025-12-31,"DUNDALK, LOUTH, IRELAND"
dundalk-bay-brewery-distillery,Dundalk Bay Brewery & Distillery,2,1.00,503670,DUNDALK DISTILLERY LIMITED,Normal,LTD - Private Company Limited by Shares,2011-09-16,,2025-12-31,"DUBLIN 3, DUBLIN, IRELAND"
