slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
distillerie-stadacone,Distillerie Stadaconé,Canada,qc-req,1174242710,DISTILLERIE STADACONÉ,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI071 (Distillateur) in force, QUÉBEC (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-temiscouata,Distillerie Témiscouata,Canada,qc-req,1170874664,DISTILLERIE TÉMISCOUATA,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI092 (Distillateur) in force, AUCLAIR (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-vent-du-nord,Distillerie Vent du Nord,Canada,qc-req,1174136250,DISTILLERIE VENT DU NORD,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI079 (Distillateur) in force, BAIE-COMEAU (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-wabasso,Distillerie Wabasso,Canada,qc-req,1172749286,DISTILLERIE WABASSO INC.,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI054 (Distillateur) in force, TROIS-RIVIÈRES (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillerie-wfe,Distillerie WfE,Canada,qc-req,1177883213,WFE DISTILLERY,self,racj-permit-name,medium,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI126 (Distillateur) in force, CHAMBLY (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
distillersr-inc,DistillerSR Inc.,Canada,corporations-canada,17751052,DistillerSR Inc.,self,federal-bulk-name,high,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Active; CBCA; registered office Ottawa, ON (city agrees); BN 827040825; last annual filing n/a"
distillersr-inc,DistillerSR Inc.,Canada,corporations-canada,14206011,DistillerSR Inc.,self,federal-bulk-name,medium,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"name jaccard 1.00; status Inactive - Inactive - Amalgamated; CBCA; registered office Ottawa, ON (city agrees); BN 827040825; last annual filing 2025"
distillery-vfx,Distillery VFX,Canada,bc-orgbook,BC1232246,DISTILLERY VFX INC.,self,orgbook-topic-search,low,,https://orgbook.gov.bc.ca/entity/BC1232246,name jaccard 1.00 via pin name; BC Registries BC1232246 status ACT type BC; registered 2019-12-03; BN 758315337; home BC
domaine-nokomis-distillerie-vignoble-brasserie,Domaine Nokomis - Distillerie-Vignoble-Brasserie,Canada,qc-req,1172676117,DOMAINE NOKOMIS,self,racj-permit-name,high,,https://www.donneesquebec.ca/recherche/dataset/racj-alcool-fabricant,"name jaccard 1.00; RACJ permit DI085 (Distillateur) in force, STOKE (city agrees); NEQ is the REQ register number; REQ status/incorporation date not checked (REQ bulk not used)"
dragon-mist-distillery,Dragon Mist Distillery,Canada,bc-orgbook,BC0945935,DRAGON MIST DISTILLERY LTD.,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/BC0945935,name jaccard 1.00 via LCRB licence 305708 licensee; BC Registries BC0945935 status ACT type BC; registered 2012-07-18; BN 802862482; home BC
dubh-glas-distillery,Dubh Glas Distillery,Canada,bc-orgbook,BC0885743,THE DUBH GLAS DISTILLERY INC.,self,orgbook-topic-search,high,,https://orgbook.gov.bc.ca/entity/BC0885743,name jaccard 1.00 via LCRB licence 306281 licensee; BC Registries BC0885743 status ACT type BC; registered 2010-07-13; BN 803196252; home BC
dunrobin-distilleries-ltd,Dunrobin Distilleries Ltd.,Canada,corporations-canada,14161114,Dunrobin Distilleries Holdings Inc.,self,federal-bulk-name,medium,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"ambiguous: 2 companies match equally; name jaccard 1.00; status Active; CBCA; registered office Vankleek Hill, ON (city agrees); BN 717087605; last annual filing 2026"
dunrobin-distilleries-ltd,Dunrobin Distilleries Ltd.,Canada,corporations-canada,11034618,Dunrobin Distilleries Limited,self,federal-bulk-name,medium,,https://open.canada.ca/data/en/dataset/0032ce54-c5dd-4b66-99a0-320a7b5e99f2,"ambiguous: 2 companies match equally; name jaccard 1.00; status Active; CBCA; registered office Vankleek Hill, ON (city agrees); BN 720140086; last annual filing 2025"
