slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
distillerie-moccia,Distillerie Moccia,Italy,it-registro-imprese,00052220381,Distillerie Moccia Srl,self,own-website-vat,high,,http://distilleriemoccia.it,P.IVA/codice fiscale 00052220381 read from the distillery's own website (http://distilleriemoccia.it); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
villa-zarri-dimora-storica-e-distilleria,Villa Zarri - dimora storica e distilleria,Italy,it-registro-imprese,02376871204,Villa Zarri SRL,self,own-website-vat,high,,http://www.villazarri.com,P.IVA/codice fiscale 02376871204 read from the distillery's own website (http://www.villazarri.com); legal name on the site matches the pin (jaccard 0.67); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distillerie-sabaude,Distillerie Sabaude,Italy,it-registro-imprese,12617060962,CHO SPIRITS s.r.l,operator,own-website-vat,medium,,https://www.distilleriesabaude.it/it/privacy-policy,P.IVA/codice fiscale 12617060962 read from the distillery's own website (https://www.distilleriesabaude.it/it/privacy-policy); legal name on the site is a drinks company but differs from the pin name (jaccard 0.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
chezmoonshine,ChezMoonshine,Italy,it-registro-imprese,01787580339,ChezMoonshine S.S,self,own-website-vat,high,,http://www.chezmoonshine.it,P.IVA/codice fiscale 01787580339 read from the distillery's own website (http://www.chezmoonshine.it); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
materica-microdistilleria,Materica Microdistilleria,Italy,it-registro-imprese,02879530182,Materica Microdistilleria,self,own-website-vat,medium,,https://www.matericadistilleria.it,P.IVA/codice fiscale 02879530182 read from the distillery's own website (https://www.matericadistilleria.it); number found but no legal name printed next to it; company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
ancient-mantovani-distilleries,Ancient Mantovani Distilleries,Italy,it-registro-imprese,01408260295,Ancient Mantovani Distilleries,self,own-website-vat,medium,,http://www.distilleriemantovani.it,P.IVA/codice fiscale 01408260295 read from the distillery's own website (http://www.distilleriemantovani.it); number found but no legal name printed next to it; company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distilleria-gastaldi-la-1-distilleria-artigianale-del-veneziano,Distilleria Gastaldi - La 1° Distilleria Artigianale del Veneziano,Italy,it-registro-imprese,04705060277,Distilleria Gastaldi - La 1° Distilleria Artigianale del Veneziano,self,own-website-vat,medium,,https://distilleriagastaldi.com,P.IVA/codice fiscale 04705060277 read from the distillery's own website (https://distilleriagastaldi.com); number found but no legal name printed next to it; company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distillerie-mazzari-s-p-a,Distillerie Mazzari S.p.A.,Italy,it-registro-imprese,00454950395,Distillerie Mazzari S.p.A,self,own-website-vat,high,,http://mazzarispa.com,P.IVA/codice fiscale 00454950395 read from the distillery's own website (http://mazzarispa.com); legal name on the site matches the pin (jaccard 1.00); checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
distilleria-alessandro-fratelli-s-n-c,Distilleria Alessandro Fratelli S.N.C.,Italy,it-registro-imprese,02186780165,Distilleria Alessandro Fratelli S.N.C.,self,own-website-vat,low,,http://www.distilleriafratelli.it,"P.IVA/codice fiscale 02186780165 read from the distillery's own website (http://www.distilleriafratelli.it); number sits next to a web-agency credit; may be the agency's, not the distillery's; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
la-distilleria-produzioni-musicali,La Distilleria - Produzioni Musicali,Italy,it-registro-imprese,04069240242,Gray House Entertainment SRL,operator,own-website-vat,medium,,https://ladistilleriastudios.com/privacy-policy,P.IVA/codice fiscale 04069240242 read from the distillery's own website (https://ladistilleriastudios.com/privacy-policy); legal name on the site differs from the pin name (jaccard 0.00); may be the operator; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)
bio-brennerei-steiner,Bio Brennerei Steiner,Italy,it-registro-imprese,01646210219,Bio Brennerei Steiner,self,own-website-vat,high,,http://www.biobrennerei.it,"P.IVA/codice fiscale 01646210219 read from the distillery's own website (http://www.biobrennerei.it); no legal form printed, but the distillery's own name sits next to the number (sole trader or plain trading name); company name = pin name; checksum valid; not yet checked against the register (AdE VerificaPIVA by hand)"
