slug,distillery_name,country,registry,company_number,company_name,relation,match_method,confidence,verified,source,note
distillerie-s-crestat,Distillerie Sécrestat,France,fr-sirene,455202150,J H SECRESTAT AINE,self,sirene-name-search,low,,https://annuaire-entreprises.data.gouv.fr/entreprise/455202150,"property/construction company, not the operator; name jaccard 0.25 on 'J H SECRESTAT AINE'; UL ceased; NAF 41.03; created n/a; SIRET 45520215000013 33000 BORDEAUX (postcode/city agrees) siege closed"
distillerie-saint-gervais-mont-blanc,DIstillerie Saint Gervais Mont Blanc,France,fr-sirene,830447900,DISTILLERIE SAINT-GERVAIS MONT-BLANC,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/830447900,name jaccard 1.00 on 'DISTILLERIE SAINT-GERVAIS MONT-BLANC'; UL active; NAF 11.01Z; created 2017-05-17; SIRET 83044790000010 74170 SAINT GERVAIS LES BAINS (postcode/city agrees) siege; dirigeants: JAMES ABBOTT (ABBOTT) (Gérant)
distillerie-saint-james,Distillerie Saint-James,France,fr-sirene,303152250,SAINT JAMES INTERNATIONAL,operator,hand,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/303152250,Plantations Saint James / La Martiniquaise-Bardinet group (COFEPP); name jaccard 0.67 on 'SAINT JAMES INTERNATIONAL'; UL active; NAF 11.01Z; created 1981-03-31; SIRET 30315225000021 97230 SAINTE MARIE (postcode/city agrees) siege
distillerie-saint-james,Distillerie Saint-James,France,fr-sirene,303159883,RHUMS MARTINIQUAIS SAINT-JAMES,operator,hand,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/303159883,"Plantations Saint James / La Martiniquaise-Bardinet group (COFEPP); name jaccard 0.50 on 'RHUMS MARTINIQUAIS SAINT-JAMES'; UL active; NAF 11.01Z; created 1974-01-01; SIRET 30315988300022 97230 SAINTE MARIE (postcode/city agrees) siege; dirigeants: JEAN-CLAUDE BENOIT (Directeur Général); JEAN CAYARD (Président de SAS); IN EXTENSO AUDIT ALSACE (Commissaire aux comptes titulaire, SIREN 534428875)"
distillerie-saint-loup,Distillerie Saint Loup,France,fr-sirene,539867804,SCI SAINT LOUP,self,sirene-name-search,low,,https://annuaire-entreprises.data.gouv.fr/entreprise/539867804,"property/construction company, not the operator; name jaccard 1.00 on 'SCI SAINT LOUP'; UL active; NAF 68.20B; created 2012-02-01; SIRET 53986780400012 10450 BREVIANDES (departement agrees) siege; dirigeants: SYLVIE GENEVRIER (BEUGNOT) (Associé indéfiniment responsable); JEAN-LUC GÉNÉVRIER (Gérant et associé indéfiniment responsable)"
distillerie-saint-loup,Distillerie Saint Loup,France,fr-sirene,479577405,SCI SAINT LOUP,self,sirene-name-search,low,,https://annuaire-entreprises.data.gouv.fr/entreprise/479577405,"property/construction company, not the operator; name jaccard 1.00 on 'SCI SAINT LOUP'; UL active; NAF 68.20B; created 2004-11-19; SIRET 47957740500018 10260 CHAPPES (departement agrees) siege; dirigeants: PASCALE ROUILLOT (RICHARD) (Gérant); ETIENNE ROUILLOT (Gérant); HUGUES ROUILLOT (Associé indéfiniment responsable)"
distillerie-saint-loup,Distillerie Saint Loup,France,fr-sirene,397780172,EARL FERME SAINT LOUP,self,sirene-name-search,low,,https://annuaire-entreprises.data.gouv.fr/entreprise/397780172,name jaccard 1.00 on 'EARL FERME SAINT LOUP'; UL active; NAF 01.11Z; created 1994-07-01; SIRET 39778017200011 10700 VAUPOISSON (departement agrees) siege; dirigeants: HERVE CLEMENT (Gérant)
distillerie-saint-veran,Distillerie Saint Véran,France,fr-sirene,829315183,DISTILLERIE SAINT-VERAN,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/829315183,name jaccard 1.00 on 'DISTILLERIE SAINT-VERAN'; UL active; NAF 11.01Z; created 2017-04-19; SIRET 82931518300022 05350 SAINT VERAN (postcode/city agrees) siege; dirigeants: CLAIRE DEMARETS (DELALEZ) (Président de SAS); CLAIRE DELALEZ (DEMARETS) (Président de SAS); LAURENT DEMARETS (Directeur Général)
distillerie-sainte-barbe,Distillerie Sainte Barbe,France,fr-sirene,914546650,DISTILLERIE SAINTE BARBE,self,sirene-naf-1101z,high,,https://annuaire-entreprises.data.gouv.fr/entreprise/914546650,name jaccard 1.00 on 'DISTILLERIE SAINTE BARBE'; UL active; NAF 11.01Z; created 2022-06-03; SIRET 91454665000021 57170 CHATEAU SALINS siege; dirigeants: FLORIAN AUBRY MARTORETTI (AUBRY) (Directeur Général); MAXIME RIGGI (Président de SAS)
distillerie-sainte-victoire,DISTILLERIE SAINTE VICTOIRE,France,fr-sirene,843626680,SAINTE VICTOIRE,self,sirene-name-search,low,,https://annuaire-entreprises.data.gouv.fr/entreprise/843626680,"property/construction company, not the operator; name jaccard 1.00 on 'SAINTE VICTOIRE'; UL active; NAF 68.20B; created 2018-10-05; SIRET 84362668000014 13080 AIX EN PROVENCE (departement agrees) siege; dirigeants: NICOLAS BREITEL (Gérant et associé indéfiniment responsable); STEPHANIE COMBRIE (Autre)"
