slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba,global_name_score,candidate_tier,candidate_permit,candidate_owner,candidate_dba,candidate_state,candidate_city
county-seat-spirits,County Seat Spirits,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,PA-S-20019,COUNTY SEAT SPIRITS LLC,,PA,ALLENTOWN
dry-fly-distillery,Dry Fly Distillery,,,osm,unmatched,0,none,0,,,,62.5,no_name_candidate_below_70,MT-S-20012,DRY HILLS DISTILLERY LLC,Dry Hills Distillery,MT,BOZEMAN
thrasher-s-rum,Thrasher's Rum,,,osm,unmatched,0,none,0,,,,62.1,no_name_candidate_below_70,OH-S-20076,"JACK'S TRANSFER, INC.",Crooked Finger Cocktails,OH,CUYAHOGA FALLS
good-shepherd-distillery,Good Shepherd Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,NY-S-20194,GOOD SHEPHERD DISTILLERY LLC,Sound Shore Distillery,NY,MAMARONECK
manatawny-still-works,Manatawny Still Works,,,osm,unmatched,0,none,0,,,,68.1,no_name_candidate_below_70,IN-S-20039,"DANNY BOY DISTILLING WORKS, LLC",Danny Boy Distilling Works,IN,CARMEL
doc-water-s-cidery,Doc Water's Cidery,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,IA-S-20044,"THE CIDER HOUSE, LLC",The Cider House,IA,FAIRFIELD
loon-liquors,Loon Liquors,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,MN-S-20008,"LOON LIQUORS, LLC",Loon Liquors,MN,NORTHFIELD
tenth-ward-distilling,Tenth Ward Distilling,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,MD-S-20018,"CARROLL CREEK WHISKEY, LLC",Tenth Ward Distilling Company,MD,FREDERICK
eight-oaks-farm-distillery,Eight Oaks Farm Distillery,,,osm,unmatched,0,none,0,,,,100.0,strong_name_candidate_95_plus,PA-S-20031,EIGHT OAKS CRAFT DISTILLERY COMPANY,Eight Oaks Farm Distillery,PA,NEW TRIPOLI
noble-grape,Noble Grape,,,osm,unmatched,0,none,0,,,,66.7,no_name_candidate_below_70,TX-S-20320,"GARAGE OIL, LLC",Garage Oil Distillery,TX,ROCKDALE
local-cider,Local Cider,,,osm,unmatched,0,none,0,,,,72.0,review_name_candidate_70_84,OR-S-20056,"FOX-TAIL CIDER, INC",,OR,HOOD RIVER
la-chaufferie,La Chaufferie,,,osm,unmatched,0,none,0,,,,58.3,no_name_candidate_below_70,NH-S-20033,"NOBL COFFEE, LLC",,NH,SEABROOK
