slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
dubh-glas-distillery,Dubh Glas Distillery,"8486 Gallagher Lake, Frontage Road, Oliver, BC V0H 1T2, Canada",,osm,unmatched,0,none,0,,,
black-shire-distillery-tasting-room,Black Shire Distillery Tasting Room,"111 Gutenberg St, Hermann, MO 65041, USA",MO,osm,unmatched,62.9,none,0.0,,,
calistoga-depot-distillery,Calistoga Depot Distillery,"1458 Lincoln Ave, Calistoga, CA 94515, USA",CA,osm,unmatched,60.9,none,0.0,,,
cidrerie-pomeloi,Cidrerie Poméloi,"33 chemin du P'tit Bois Nord, Iles-de-la-Madeleine Bassin, Communauté maritime des Îles-de-la-Madeleine, QC G4T 0H1, Canada",,osm,unmatched,0,none,0,,,
elora-distilling-company,Elora Distilling Company,"102 Metcalfe St Unit 4, Elora, ON N0B 1S0, Canada",,osm,unmatched,0,none,0,,,
produce-waterfront-spirits-co,Produce & Waterfront Spirits Co.,"369 3rd St, Oakland, CA 94607, USA",CA,osm,unmatched,58.8,none,0.0,,,
the-doing-time-distillery,The Doing Time Distillery,,,osm,unmatched,0,none,0,,,
asw-exchange,ASW Exchange,"1000 White St SW, Atlanta, GA 30310, USA",GA,osm,unmatched,50.0,none,0.0,,,
bomberger-s-distillery,Bomberger's Distillery,,,wikidata,unmatched,0,none,0,,,
crowded-barrel-whiskey-co,Crowded Barrel Whiskey Co.,"16221 Crystal Hills Dr Alchemy, Austin, TX 78737, USA",TX,osm+wikidata,unmatched,63.6,none,0.125,,,
mount-rose-distillery,Mount Rose Distillery,,,wikidata,unmatched,0,none,0,,,
old-taylor-distillery,Old Taylor distillery,"4445 McCracken Pike, Frankfort, KY 40601, USA",KY,wikidata,unmatched,58.3,none,0.0,,,
stitzelweller-distillery,Stitzel–Weller Distillery,"3860 Fitzgerald Rd, Shively, KY 40216, USA",KY,osm+wikidata,unmatched,56.0,none,0.167,,,
ironton-distillery-and-crafthouse,Ironton Distillery and Crafthouse,,,osm,unmatched,0,none,0,,,
lakeward-spirits-craft-distillery,Lakeward Spirits Craft Distillery,,,osm,unmatched,0,none,0,,,
nauti-distilery,Nauti Distilery,"916 Shunpike Rd, Cape May, NJ 08204, USA",NJ,osm,unmatched,68.8,none,0.0,,,
murlarkey-distilled-spirits,MurLarkey Distilled Spirits,,,osm,unmatched,0,none,0,,,
independent-distilling-company,Independent Distilling Company,,,osm,unmatched,0,none,0,,,
