slug,name,address,state,source,bucket,score,method,address_overlap,permit_number,permit_owner,permit_dba
heaven-hill-springs-distillery,Heaven Hill Springs Distillery,"1015 Old Bloomfield Pike, Bardstown, KY 40004, USA",KY,google-places,review,73.3,name,0.0,KY-S-779,"HEAVEN HILL DISTILLERIES, INC.",
regeneration-distilling-co,Regeneration Distilling Co.,"31 E Broadway St, Winchester, KY 40391, USA",KY,google-places,review,73.9,name,0.143,KY-S-20158,"HENDERSON DISTILLING COMPANY, LLC",
river-hill-distillery,River Hill Distillery,"356 Ruffners Ferry Rd, Luray, VA 22835, USA",VA,google-places,review,70.0,name,0.0,VA-S-20127,"RIVER CITY DISTILLERY, LLC",River City Distillery
clark-co-s-distilling,Clark & Co's Distilling,"3926 US-6, Palisade, CO 81526, USA",CO,google-places,review,75.0,name,0.0,CO-S-20190,JAMES DISTILLING CO LLC,James Distilling Co
montanya-distillers-cocktail-bar,Montanya Distillers | Cocktail Bar,"204 Elk Ave, Crested Butte, CO 81224, USA",CO,google-places,review,74.5,name,0.0,CO-S-15026,"MONTANYA DISTILLERS, LLC",
moonshine-distiller,Moonshine Distiller,"78737 US-40 #1100, Winter Park, CO 80482, USA",CO,google-places,review,74.4,name,0.0,CO-S-20048,MOBB MOUNTAIN DISTILLERS LTD,Mobb Mountain Distillers
ballmer-peak-distillery-sheridan,Ballmer Peak Distillery - Sheridan,"275 S Sheridan Blvd Unit #100, Lakewood, CO 80226, USA",CO,google-places,review,72.7,name,0.0,CO-S-20108,BALLMER PEAK SPIRITS COMPANY LLC,Ballmer Peak Distillery
burnt-barrel-brewery-distillery,Burnt Barrel Brewery & Distillery,"730 Lakeside Plaza, Lake St Louis, MO 63367, USA",MO,google-places,review,75.0,name,0.125,MO-S-20115,"BURNT BARREL MEADERY, LLC",Burnt Barrel Distillery
friendship-brewing-distilling-company,Friendship Brewing & Distilling Company,"400 Crossroads Business Park Ct, Wentzville, MO 63385, USA",MO,google-places,review,76.9,name,0.0,MO-S-20037,"WEISS HOLDINGS, LLC",Fernweh Distilling Company
black-diamond-brewery-distillery-waverly,Black Diamond Brewery & Distillery - Waverly,"210 N Market St, Waverly, OH 45690, USA",OH,google-places,review,77.8,name,0.143,OH-S-20158,BLACK DIAMOND BREWERY & DISTILLATION COMPANY LLC,Black Diamond Brewery and Distillery
black-diamond-brewery-and-distillery-circleville,Black Diamond Brewery and Distillery Circleville,"126 W Main St, Circleville, OH 43113, USA",OH,google-places,review,80.6,name,0.286,OH-S-20158,BLACK DIAMOND BREWERY & DISTILLATION COMPANY LLC,Black Diamond Brewery and Distillery
bad-alfred-s-distilling,BAD Alfred's Distilling,"323 High St, Chestertown, MD 21620, USA",MD,google-places,review,71.4,name,0.0,MD-S-20015,"LOST ARK DISTILLING COMPANY, LLC",Lost Ark Distilling Company
craft-distillers,Craft Distillers,"108 W Clay St, Ukiah, CA 95482, USA",CA,google-places,review,82.4,name,0.0,CA-S-20153,"CHARBAY DISTILLERS, LLC",Charbay  Distillery
rocheport-distilling-co,Rocheport Distilling Co.,"12847 W Hwy Bb, Rocheport, MO 65279, USA",MO,google-places,review,77.3,name,0.0,MO-S-20024,"TEMPEST DISTILLING & SPIRITS, CO., LLC",
hognose-distilling,Hognose Distilling,"4251 Harford Rd, Baltimore, MD 21214, USA",MD,google-places,review,78.8,name,0.0,MD-S-20003,"LYON DISTILLING COMPANY, LLC",WINDON DISTILLING COMPANY
